caller_file,caller_symbol,target_file,target_symbol,confidence,line_start,line_end,target_evidence
scripts/generate-codebase-export.mjs,sourceFilePath,scripts/generate-codebase-export.mjs,isInside,medium,172,172,scripts/generate-codebase-export.mjs:46
scripts/generate-codebase-export.mjs,sourceFilePath,scripts/generate-codebase-export.mjs,relativePath,medium,173,173,scripts/generate-codebase-export.mjs:50
scripts/generate-codebase-export.mjs,getStringValue,unresolved:ts.isStringLiteral,ts.isStringLiteral,low,178,178,
scripts/generate-codebase-export.mjs,getStringValue,unresolved:ts.isNoSubstitutionTemplateLiteral,ts.isNoSubstitutionTemplateLiteral,low,178,178,
scripts/generate-codebase-export.mjs,getNumberValue,unresolved:ts.isNumericLiteral,ts.isNumericLiteral,low,183,183,
scripts/generate-codebase-export.mjs,getNumberValue,unresolved:Number,Number,low,184,184,
scripts/generate-codebase-export.mjs,getNumberValue,unresolved:Number.isFinite,Number.isFinite,low,185,185,
scripts/generate-codebase-export.mjs,getProperty,unresolved:object.properties.find,object.properties.find,low,189,194,
scripts/generate-codebase-export.mjs,getProperty,unresolved:ts.isIdentifier,ts.isIdentifier,low,190,190,
scripts/generate-codebase-export.mjs,getProperty,unresolved:ts.isStringLiteral,ts.isStringLiteral,low,190,190,
scripts/generate-codebase-export.mjs,getStaticArray,unresolved:ts.isArrayLiteralExpression,ts.isArrayLiteralExpression,low,198,198,
scripts/generate-codebase-export.mjs,getStaticArray,unresolved:node.elements.map(getStringValue).filter,node.elements.map(getStringValue).filter,low,199,199,
scripts/generate-codebase-export.mjs,getStaticArray,unresolved:node.elements.map,node.elements.map,low,199,199,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:specifier.startsWith,specifier.startsWith,low,203,203,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:resolve,resolve,low,204,204,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:dirname,dirname,low,204,204,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:resolve,resolve,low,211,211,
scripts/generate-codebase-export.mjs,findImportTarget,unresolved:resolve,resolve,low,212,212,
